p,propLabel,eff,notes
http://www.wikidata.org/prop/direct/P50,author,73652,
http://www.wikidata.org/prop/direct/P61,discoverer or inventor,3362,
http://www.wikidata.org/prop/direct/P921,main subject,2889,
http://www.wikidata.org/prop/direct/P184,doctoral advisor,1679,
http://www.wikidata.org/prop/direct/P40,child,1564,
http://www.wikidata.org/prop/direct/P170,creator,1480,
http://www.wikidata.org/prop/direct/P98,editor,1456,
http://www.wikidata.org/prop/direct/P22,father,1186,
http://www.wikidata.org/prop/direct/P26,spouse,1145,
http://www.wikidata.org/prop/direct/P138,named after,1133,
http://www.wikidata.org/prop/direct/P127,owned by,989,
http://www.wikidata.org/prop/direct/P1066,student of,861,
http://www.wikidata.org/prop/direct/P3373,sibling,837,
http://www.wikidata.org/prop/direct/P185,doctoral student,837,
http://www.wikidata.org/prop/direct/P4345,director of archaeological fieldwork,604,
http://www.wikidata.org/prop/direct/P1889,different from,521,
http://www.wikidata.org/prop/direct/P802,student,498,
http://www.wikidata.org/prop/direct/P710,participant,441,
http://www.wikidata.org/prop/direct/P180,depicts,426,
http://www.wikidata.org/prop/direct/P1038,relative,374,
http://www.wikidata.org/prop/direct/P112,founded by,345,
http://www.wikidata.org/prop/direct/P84,architect,320,
http://www.wikidata.org/prop/direct/P1037,director / manager,287,
http://www.wikidata.org/prop/direct/P3342,significant person,227,
http://www.wikidata.org/prop/direct/P823,speaker,217,
http://www.wikidata.org/prop/direct/P301,category's main topic,210,
http://www.wikidata.org/prop/direct/P488,chairperson,199,
http://www.wikidata.org/prop/direct/P9161,thesis committee member,197,
http://www.wikidata.org/prop/direct/P767,contributor to the creative work or subject,186,
http://www.wikidata.org/prop/direct/P655,translator,161,
http://www.wikidata.org/prop/direct/P161,cast member,147,
http://www.wikidata.org/prop/direct/P3938,named by,127,
http://www.wikidata.org/prop/direct/P737,influenced by,115,
http://www.wikidata.org/prop/direct/P25,mother,112,
http://www.wikidata.org/prop/direct/P547,commemorates,96,
http://www.wikidata.org/prop/direct/P58,screenwriter,71,
http://www.wikidata.org/prop/direct/P57,director,70,
http://www.wikidata.org/prop/direct/P825,dedicated to,70,
http://www.wikidata.org/prop/direct/P1346,winner,69,
http://www.wikidata.org/prop/direct/P2679,author of foreword,60,
http://www.wikidata.org/prop/direct/P8329,principal investigator,57,
http://www.wikidata.org/prop/direct/P527,has part(s),56,
http://www.wikidata.org/prop/direct/P1327,partner in business or sport,52,
http://www.wikidata.org/prop/direct/P88,commissioned by,42,
http://www.wikidata.org/prop/direct/P1855,Wikidata property example,42,
http://www.wikidata.org/prop/direct/P5769,editor-in-chief,42,
http://www.wikidata.org/prop/direct/P1598,consecrator,42,
http://www.wikidata.org/prop/direct/P1877,after a work by,40,
http://www.wikidata.org/prop/direct/P1640,curator,36,
http://www.wikidata.org/prop/direct/P1891,signatory,35,
http://www.wikidata.org/prop/direct/P195,collection,31,
http://www.wikidata.org/prop/direct/P10661,exhibited creator,30,
http://www.wikidata.org/prop/direct/P110,illustrator,29,
http://www.wikidata.org/prop/direct/P123,publisher,27,
http://www.wikidata.org/prop/direct/P3320,board member,24,
http://www.wikidata.org/prop/direct/P4032,reviewed by,24,
http://www.wikidata.org/prop/direct/P1308,position holder,23,
http://www.wikidata.org/prop/direct/P5030,talk show guest,22,
http://www.wikidata.org/prop/direct/P971,category combines topics,21,
http://www.wikidata.org/prop/direct/P6241,collection creator,21,
http://www.wikidata.org/prop/direct/P1028,donated by,21,
http://www.wikidata.org/prop/direct/P664,organizer,18,
http://www.wikidata.org/prop/direct/P6,head of government,17,
http://www.wikidata.org/prop/direct/P108,employer,17,
http://www.wikidata.org/prop/direct/P1840,investigated by,16,
http://www.wikidata.org/prop/direct/P3931,copyright holder,15,
