"archaeologist","gender","birthDate","archaeologistLabel","genderLabel"
"http://www.wikidata.org/entity/Q100038758","http://www.wikidata.org/entity/Q6581097","1837","Louis d'Eichthal","male"
"http://www.wikidata.org/entity/Q1000405","http://www.wikidata.org/entity/Q6581097","1912","Miguel de Ferdinandy","male"
"http://www.wikidata.org/entity/Q1000525","http://www.wikidata.org/entity/Q6581097","1924","Géza Ferenczi","male"
"http://www.wikidata.org/entity/Q1001016","http://www.wikidata.org/entity/Q6581097","1900","Nándor Fettich","male"
"http://www.wikidata.org/entity/Q100139704","http://www.wikidata.org/entity/Q6581072","1919","Andrée Piboule","female"
"http://www.wikidata.org/entity/Q100139889","http://www.wikidata.org/entity/Q6581097","1948","Jean-Laurent Monnier","male"
"http://www.wikidata.org/entity/Q100145330","http://www.wikidata.org/entity/Q6581072","1964","Sue Anderson","female"
"http://www.wikidata.org/entity/Q100151780","http://www.wikidata.org/entity/Q6581097","1897","Franz Cupik","male"
"http://www.wikidata.org/entity/Q100152299","http://www.wikidata.org/entity/Q6581097","1975","Martin Furholt","male"
"http://www.wikidata.org/entity/Q1001774","http://www.wikidata.org/entity/Q6581097","1921","Jenő Fitz","male"
"http://www.wikidata.org/entity/Q100213","http://www.wikidata.org/entity/Q6581097","1925","Otto Friedrich August Meinardus","male"
"http://www.wikidata.org/entity/Q100256344","http://www.wikidata.org/entity/Q6581097","1949","Paul Huvenne","male"
"http://www.wikidata.org/entity/Q100279","http://www.wikidata.org/entity/Q6581097","1861","Johannes Boehlau","male"
"http://www.wikidata.org/entity/Q100328","http://www.wikidata.org/entity/Q6581097","1940","Volker Michael Strocka","male"
"http://www.wikidata.org/entity/Q100346138","http://www.wikidata.org/entity/Q6581097","1973","Tobias Gärtner","male"
"http://www.wikidata.org/entity/Q100406563","http://www.wikidata.org/entity/Q6581097","1951","Francis McManamon","male"
"http://www.wikidata.org/entity/Q100406918","http://www.wikidata.org/entity/Q6581072","1969","Nanouschka Myrberg","female"
"http://www.wikidata.org/entity/Q100411","http://www.wikidata.org/entity/Q6581097","1932","Ulrich Willerding","male"
"http://www.wikidata.org/entity/Q100417359","http://www.wikidata.org/entity/Q6581097","1851","William Wavre","male"
"http://www.wikidata.org/entity/Q1004178","http://www.wikidata.org/entity/Q6581097","1844","Róbert Fröhlich","male"
"http://www.wikidata.org/entity/Q100464173","http://www.wikidata.org/entity/Q6581097","1847","Micah Salt","male"
"http://www.wikidata.org/entity/Q100487","http://www.wikidata.org/entity/Q6581097","1848","Theodor Schreiber","male"
"http://www.wikidata.org/entity/Q100531","http://www.wikidata.org/entity/Q6581097","1848","Habbo Gerhard Lolling","male"
"http://www.wikidata.org/entity/Q100533","http://www.wikidata.org/entity/Q6581097","1869","Hans Schrader","male"
"http://www.wikidata.org/entity/Q100538","http://www.wikidata.org/entity/Q6581097","1839","Julius Schubring","male"
"http://www.wikidata.org/entity/Q100547","http://www.wikidata.org/entity/Q6581097","1870","Wilhelm Spiegelberg","male"
"http://www.wikidata.org/entity/Q100587867","http://www.wikidata.org/entity/Q6581097","1848","Wacław Fedorowicz","male"
"http://www.wikidata.org/entity/Q100590806","http://www.wikidata.org/entity/Q6581097","1960","Rafał Koliński","male"
"http://www.wikidata.org/entity/Q100590831","http://www.wikidata.org/entity/Q6581072","1977","Iwona Sobkowiak-Tabaka","female"
"http://www.wikidata.org/entity/Q100590833","http://www.wikidata.org/entity/Q6581072","1961","Marzena Szmyt","female"
"http://www.wikidata.org/entity/Q100592204","http://www.wikidata.org/entity/Q6581072","1933","Lucyna Szafran-Szadkowska","female"
"http://www.wikidata.org/entity/Q100598257","http://www.wikidata.org/entity/Q6581097","1910","Robert Will","male"
"http://www.wikidata.org/entity/Q100600726","http://www.wikidata.org/entity/Q6581097","1973","Mads Kähler Holst","male"
"http://www.wikidata.org/entity/Q100600840","http://www.wikidata.org/entity/Q6581097","1939","Nikos Zias","male"
"http://www.wikidata.org/entity/Q100605448","http://www.wikidata.org/entity/Q6581097","1970","Christian Gates St-Pierre","male"
"http://www.wikidata.org/entity/Q100609","http://www.wikidata.org/entity/Q6581097","1941","Björn-Uwe Abels","male"
"http://www.wikidata.org/entity/Q1006387","http://www.wikidata.org/entity/Q6581097","1919","Ferenc Fülep","male"
"http://www.wikidata.org/entity/Q100742126","http://www.wikidata.org/entity/Q6581097","1965","Gergely Buzás","male"
"http://www.wikidata.org/entity/Q100753593","http://www.wikidata.org/entity/Q6581097","1869","Diego Jiménez de Cisneros","male"
