education_uri,education_label,count
http://www.wikidata.org/entity/Q1576779,Italian School of Archaeology at Athens,309
http://www.wikidata.org/entity/Q390287,Eötvös Loránd University,183
http://www.wikidata.org/entity/Q83259,École Normale Supérieure,150
http://www.wikidata.org/entity/Q13371,Harvard University,148
http://www.wikidata.org/entity/Q165980,University of Vienna,139
http://www.wikidata.org/entity/Q35794,University of Cambridge,113
http://www.wikidata.org/entity/Q144488,University of Warsaw,96
http://www.wikidata.org/entity/Q152171,University of Bonn,94
http://www.wikidata.org/entity/Q193196,University College London,90
http://www.wikidata.org/entity/Q273631,École pratique des hautes études,86
http://www.wikidata.org/entity/Q152087,Humboldt-Universität zu Berlin,86
http://www.wikidata.org/entity/Q131252,University of Chicago,84
http://www.wikidata.org/entity/Q174158,Hebrew University of Jerusalem,82
http://www.wikidata.org/entity/Q3563550,"Faculty of Arts, Charles University in Prague",79
http://www.wikidata.org/entity/Q209344,Sapienza University of Rome,79
http://www.wikidata.org/entity/Q12016640,Masaryk University Faculty of Arts,77
http://www.wikidata.org/entity/Q4204528,MSU Faculty of History,77
http://www.wikidata.org/entity/Q27621,Saint Petersburg State University,76
http://www.wikidata.org/entity/Q999763,University of Paris 1 Pantheon-Sorbonne,75
http://www.wikidata.org/entity/Q189441,Jagiellonian University,74
http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München,73
http://www.wikidata.org/entity/Q34433,University of Oxford,72
http://www.wikidata.org/entity/Q49117,University of Pennsylvania,69
http://www.wikidata.org/entity/Q49088,Columbia University,67
http://www.wikidata.org/entity/Q209842,University of Paris,65
http://www.wikidata.org/entity/Q49112,Yale University,65
http://www.wikidata.org/entity/Q230492,University of Michigan,65
http://www.wikidata.org/entity/Q547867,National and Kapodistrian University of Athens,62
http://www.wikidata.org/entity/Q154804,Leipzig University,61
http://www.wikidata.org/entity/Q153978,University of Tübingen,58
http://www.wikidata.org/entity/Q151510,Heidelberg University,57
http://www.wikidata.org/entity/Q185246,Uppsala University,55
http://www.wikidata.org/entity/Q995265,Bryn Mawr College,52
http://www.wikidata.org/entity/Q13164,Lomonosov Moscow State University,52
http://www.wikidata.org/entity/Q219694,Complutense University of Madrid,51
http://www.wikidata.org/entity/Q219615,University of Barcelona,51
http://www.wikidata.org/entity/Q168756,"University of California, Berkeley",51
http://www.wikidata.org/entity/Q170027,University of London,50
http://www.wikidata.org/entity/Q152838,University of Göttingen,50
http://www.wikidata.org/entity/Q31519,Charles University,48
http://www.wikidata.org/entity/Q56709587,Historical Department of the National University of Kyiv,48
http://www.wikidata.org/entity/Q186285,University of Copenhagen,48
http://www.wikidata.org/entity/Q841581,Sofia University,47
http://www.wikidata.org/entity/Q4204527,Saint Petersburg State Institute of History,46
http://www.wikidata.org/entity/Q273534,École du Louvre,44
