"wikidata_uri","label","birth_year","gender","label","geo_coordinates","wikidata_uri"
http://www.wikidata.org/entity/Q100038758,,1837,male,Paris,POINT(2.352222 48.856667),http://www.wikidata.org/entity/Q90
http://www.wikidata.org/entity/Q1000405,,1912,male,Budapest,POINT(19.040833 47.498333),http://www.wikidata.org/entity/Q1781
http://www.wikidata.org/entity/Q1000525,,1924,male,Cluj-Napoca,POINT(23.590660 46.768910),http://www.wikidata.org/entity/Q100188
http://www.wikidata.org/entity/Q1001016,,1900,male,Acsád,POINT(16.734430 47.322920),http://www.wikidata.org/entity/Q482017
http://www.wikidata.org/entity/Q100151780,,1897,male,Jemnice,POINT(15.569945 49.019037),http://www.wikidata.org/entity/Q1670040
http://www.wikidata.org/entity/Q1001774,,1921,male,Budapest,POINT(19.040833 47.498333),http://www.wikidata.org/entity/Q1781
http://www.wikidata.org/entity/Q100213,,1925,male,Hamburg,POINT(10.000000 53.550000),http://www.wikidata.org/entity/Q1055
http://www.wikidata.org/entity/Q100279,,1861,male,Halle (Saale),POINT(11.969722 51.482778),http://www.wikidata.org/entity/Q2814
http://www.wikidata.org/entity/Q100328,,1940,male,Frankfurt,POINT(8.682222 50.110556),http://www.wikidata.org/entity/Q1794
http://www.wikidata.org/entity/Q100411,,1932,male,Querfurt,POINT(11.600000 51.383333),http://www.wikidata.org/entity/Q518204
http://www.wikidata.org/entity/Q100417359,,1851,male,Neuchâtel,POINT(6.930556 46.990278),http://www.wikidata.org/entity/Q69345
http://www.wikidata.org/entity/Q1004178,,1844,male,Pest,POINT(19.100000 47.500000),http://www.wikidata.org/entity/Q210205
http://www.wikidata.org/entity/Q100487,,1848,male,Strehla,POINT(13.225833 51.353056),http://www.wikidata.org/entity/Q8792
http://www.wikidata.org/entity/Q100531,,1848,male,Tergast,POINT(7.369445 53.336667),http://www.wikidata.org/entity/Q727146
http://www.wikidata.org/entity/Q100533,,1869,male,Słupsk,POINT(17.033333 54.466667),http://www.wikidata.org/entity/Q105048
http://www.wikidata.org/entity/Q100538,,1839,male,Dessau,POINT(12.246111 51.834167),http://www.wikidata.org/entity/Q487070
http://www.wikidata.org/entity/Q100547,,1870,male,Hanover,POINT(9.738611 52.374444),http://www.wikidata.org/entity/Q1715
http://www.wikidata.org/entity/Q100587867,,1848,male,Mogilev,POINT(30.342960 53.908940),http://www.wikidata.org/entity/Q154835
http://www.wikidata.org/entity/Q100590833,,1961,female,Gostyń,POINT(17.012500 51.879167),http://www.wikidata.org/entity/Q422286
http://www.wikidata.org/entity/Q100592204,,1933,female,Łączki Jagiellońskie,POINT(21.700000 49.800000),http://www.wikidata.org/entity/Q8081173
http://www.wikidata.org/entity/Q100598257,,1910,male,Uhrwiller,POINT(7.578611 48.877778),http://www.wikidata.org/entity/Q22888
http://www.wikidata.org/entity/Q100600840,,1939,male,Tripoli,POINT(13.187460 32.875190),http://www.wikidata.org/entity/Q3579
http://www.wikidata.org/entity/Q100609,,1941,male,Berlin,POINT(13.383333 52.516667),http://www.wikidata.org/entity/Q64
http://www.wikidata.org/entity/Q1006387,,1919,male,Szerencs,POINT(21.205000 48.162222),http://www.wikidata.org/entity/Q854996
http://www.wikidata.org/entity/Q100742126,,1965,male,Pécs,POINT(18.233056 46.070833),http://www.wikidata.org/entity/Q45779
http://www.wikidata.org/entity/Q100753593,,1869,male,Huércal-Overa,POINT(-1.943496 37.389896),http://www.wikidata.org/entity/Q1372614
http://www.wikidata.org/entity/Q100754214,,1857,male,Namur,POINT(4.866667 50.466667),http://www.wikidata.org/entity/Q134121
http://www.wikidata.org/entity/Q100755444,Pedro Flores Garcia,1840,male,Antas,POINT(-1.918163 37.245221),http://www.wikidata.org/entity/Q1444119
http://www.wikidata.org/entity/Q100787936,,1979,male,Kassel,POINT(9.497917 51.315778),http://www.wikidata.org/entity/Q2865
http://www.wikidata.org/entity/Q100898528,,1839,male,Gateshead,POINT(-1.600000 54.950000),http://www.wikidata.org/entity/Q216372
http://www.wikidata.org/entity/Q100901065,,1951,male,Bucharest,POINT(26.097778 44.413361),http://www.wikidata.org/entity/Q19660
http://www.wikidata.org/entity/Q100943039,,1918,male,Minneapolis,POINT(-93.269167 44.981945),http://www.wikidata.org/entity/Q36091
http://www.wikidata.org/entity/Q100945689,,1921,female,Grand Rapids,POINT(-85.667778 42.963333),http://www.wikidata.org/entity/Q184587
http://www.wikidata.org/entity/Q1009506,,1840,male,Chelsea,POINT(-0.168400 51.487500),http://www.wikidata.org/entity/Q743535
http://www.wikidata.org/entity/Q1009679,,1856,male,Dej,POINT(23.876389 47.141389),http://www.wikidata.org/entity/Q273801
http://www.wikidata.org/entity/Q1009735,,1977,male,Cluj-Napoca,POINT(23.590660 46.768910),http://www.wikidata.org/entity/Q100188
http://www.wikidata.org/entity/Q100989320,,1874,male,Vrises,POINT(24.575640 35.163800),http://www.wikidata.org/entity/Q21732038
http://www.wikidata.org/entity/Q100995959,,1915,male,Pocatello,POINT(-112.450555 42.862222),http://www.wikidata.org/entity/Q320729
http://www.wikidata.org/entity/Q101002807,,1889,male,Florence,POINT(11.254167 43.771389),http://www.wikidata.org/entity/Q2044
http://www.wikidata.org/entity/Q1010297,,1929,male,Halle (Saale),POINT(11.969722 51.482778),http://www.wikidata.org/entity/Q2814
http://www.wikidata.org/entity/Q101044107,,1933,male,Nicotera,POINT(15.933333 38.550000),http://www.wikidata.org/entity/Q54724
http://www.wikidata.org/entity/Q101046,,1874,male,Emmerich am Rhein,POINT(6.245278 51.835000),http://www.wikidata.org/entity/Q57006
http://www.wikidata.org/entity/Q101078161,,1832,male,Cullybackey,POINT(-6.350000 54.883300),http://www.wikidata.org/entity/Q1570557
http://www.wikidata.org/entity/Q101120550,,1976,female,Zagreb,POINT(15.977222 45.813056),http://www.wikidata.org/entity/Q1435
http://www.wikidata.org/entity/Q1011794,,1841,male,Beluša,POINT(18.327778 49.065278),http://www.wikidata.org/entity/Q520872
http://www.wikidata.org/entity/Q101209945,,1887,male,Naples,POINT(14.248611 40.835833),http://www.wikidata.org/entity/Q2634
http://www.wikidata.org/entity/Q101218689,,1954,male,Vienna,POINT(16.372500 48.208333),http://www.wikidata.org/entity/Q1741
http://www.wikidata.org/entity/Q101223294,,1934,male,Sankt Konrad,POINT(13.883889 47.913611),http://www.wikidata.org/entity/Q669378
http://www.wikidata.org/entity/Q101248889,,1948,male,Mestre,POINT(12.238056 45.490556),http://www.wikidata.org/entity/Q541405
