"pk_person_features","person_uri","occupation_main","occupation_sec1","occupation_sec2","field_main","field_sec1","field_sec2","fk_person","notes"
1,http://www.wikidata.org/entity/Q100038758,archaeologist,politician,military-personnel,NA,NA,NA,1,
2,http://www.wikidata.org/entity/Q1000405,archaeologist,university-teacher,historian,archaeology,ethnology,history-of-literature,2,
3,http://www.wikidata.org/entity/Q1000525,archaeologist,historian,NA,NA,NA,NA,3,
4,http://www.wikidata.org/entity/Q1001016,archaeologist,jeweler,NA,NA,NA,NA,4,
5,http://www.wikidata.org/entity/Q100139704,archaeologist,NA,NA,NA,NA,NA,5,
6,http://www.wikidata.org/entity/Q100139889,archaeologist,NA,NA,NA,NA,NA,6,
7,http://www.wikidata.org/entity/Q100145330,archaeologist,NA,NA,NA,NA,NA,7,
8,http://www.wikidata.org/entity/Q100151780,archaeologist,merchant,NA,NA,NA,NA,8,
9,http://www.wikidata.org/entity/Q100152299,archaeologist,university-teacher,NA,archaeology,bronze-age,neolithic,9,
10,http://www.wikidata.org/entity/Q1001774,archaeologist,university-teacher,historian,NA,NA,NA,10,
11,http://www.wikidata.org/entity/Q100213,archaeologist,university-teacher,theologian,NA,NA,NA,11,
12,http://www.wikidata.org/entity/Q100256344,archaeologist,university-teacher,art-historian,visual-arts,early-netherlandish-painting,flemish-baroque-painting,12,
13,http://www.wikidata.org/entity/Q100279,archaeologist,art-historian,NA,NA,NA,NA,13,
14,http://www.wikidata.org/entity/Q100328,archaeologist,university-teacher,art-historian,archaeology,art-history,classical-archaeology,14,
15,http://www.wikidata.org/entity/Q100346138,archaeologist,university-teacher,historian,archaeology,history,medieval-archaeology,15,
16,http://www.wikidata.org/entity/Q100406563,archaeologist,NA,NA,NA,NA,NA,16,
17,http://www.wikidata.org/entity/Q100406918,archaeologist,researcher,NA,NA,NA,NA,17,
18,http://www.wikidata.org/entity/Q100411,archaeologist,university-teacher,anthropologist,botany,paleobotany,NA,18,
19,http://www.wikidata.org/entity/Q100417359,archaeologist,numismatist,NA,NA,NA,NA,19,
20,http://www.wikidata.org/entity/Q1004178,archaeologist,librarian,secondary-school-teacher,archaeology,library-science,pastoral-care,20,
21,http://www.wikidata.org/entity/Q100464173,archaeologist,NA,NA,NA,NA,NA,21,
22,http://www.wikidata.org/entity/Q100487,archaeologist,university-teacher,art-historian,archaeology,art-history,NA,22,
23,http://www.wikidata.org/entity/Q100531,archaeologist,art-historian,NA,NA,NA,NA,23,
24,http://www.wikidata.org/entity/Q100533,archaeologist,university-teacher,anthropologist,NA,NA,NA,24,
25,http://www.wikidata.org/entity/Q100538,archaeologist,art-historian,classical-philologist,NA,NA,NA,25,
26,http://www.wikidata.org/entity/Q100547,archaeologist,university-teacher,anthropologist,NA,NA,NA,26,
27,http://www.wikidata.org/entity/Q100587867,archaeologist,jurist,NA,NA,NA,NA,27,
28,http://www.wikidata.org/entity/Q100590806,archaeologist,NA,NA,archaeology,NA,NA,28,
29,http://www.wikidata.org/entity/Q100590831,archaeologist,NA,NA,archaeology,NA,NA,29,
30,http://www.wikidata.org/entity/Q100590833,archaeologist,NA,NA,archaeology,NA,NA,30,
31,http://www.wikidata.org/entity/Q100592204,archaeologist,NA,NA,NA,NA,NA,31,
32,http://www.wikidata.org/entity/Q100598257,archaeologist,art-historian,architect,NA,NA,NA,32,
33,http://www.wikidata.org/entity/Q100600726,archaeologist,prehistorian,curator,NA,NA,NA,33,
34,http://www.wikidata.org/entity/Q100600840,archaeologist,university-teacher,art-historian,archaeology,art-history,NA,34,
35,http://www.wikidata.org/entity/Q100605033,,NA,NA,archaeology,anthropology,NA,35,
36,http://www.wikidata.org/entity/Q100605448,archaeologist,university-teacher,historian,archaeology,anthropology,NA,36,
37,http://www.wikidata.org/entity/Q100609,archaeologist,university-teacher,prehistorian,NA,NA,NA,37,
38,http://www.wikidata.org/entity/Q1006387,archaeologist,NA,NA,NA,NA,NA,38,
39,http://www.wikidata.org/entity/Q100742126,archaeologist,historian,art-historian,NA,NA,NA,39,
40,http://www.wikidata.org/entity/Q100753593,archaeologist,secondary-school-teacher,NA,NA,NA,NA,40,
41,http://www.wikidata.org/entity/Q100754214,archaeologist,mining-engineer,NA,NA,NA,NA,41,
42,http://www.wikidata.org/entity/Q100755444,archaeologist,NA,NA,NA,NA,NA,42,
43,http://www.wikidata.org/entity/Q100787936,archaeologist,runologist,NA,NA,NA,NA,43,
44,http://www.wikidata.org/entity/Q100898528,archaeologist,writer,merchant,NA,NA,NA,44,
45,http://www.wikidata.org/entity/Q100901065,archaeologist,historian,numismatist,archaeology,history,numismatics,45,
46,http://www.wikidata.org/entity/Q100943039,,NA,NA,archaeology,NA,NA,46,
