birth_place_uri,long_lat
http://www.wikidata.org/entity/Q100,POINT(-71.057778 42.360278)
http://www.wikidata.org/entity/Q1000033,POINT(16.611955 49.912192)
http://www.wikidata.org/entity/Q1000069,POINT(14.051127 50.515121)
http://www.wikidata.org/entity/Q1000073,POINT(15.223389 49.431397)
http://www.wikidata.org/entity/Q1000078,POINT(16.664304 49.757954)
http://www.wikidata.org/entity/Q1000091,POINT(16.274955 50.162871)
http://www.wikidata.org/entity/Q100022,POINT(5.765600 50.796400)
http://www.wikidata.org/entity/Q1000404,POINT(32.400000 50.600000)
http://www.wikidata.org/entity/Q100043,POINT(11.052778 44.596667)
http://www.wikidata.org/entity/Q1000446,POINT(37.183333 48.283333)
http://www.wikidata.org/entity/Q1000475,POINT(14.896795 49.871708)
http://www.wikidata.org/entity/Q100050,POINT(11.295740 44.831850)
http://www.wikidata.org/entity/Q1000642,POINT(-74.364700 40.715600)
http://www.wikidata.org/entity/Q1000662,POINT(-0.483700 52.655600)
http://www.wikidata.org/entity/Q1000900,POINT(35.224400 32.676497)
http://www.wikidata.org/entity/Q1000927,POINT(24.283333 50.483333)
http://www.wikidata.org/entity/Q1001225,POINT(16.390833 50.403056)
http://www.wikidata.org/entity/Q1001297,POINT(18.801944 49.721389)
http://www.wikidata.org/entity/Q1001639,POINT(15.403979 49.668062)
http://www.wikidata.org/entity/Q100188,POINT(23.590660 46.768910)
http://www.wikidata.org/entity/Q10019,POINT(6.283333 52.400000)
http://www.wikidata.org/entity/Q1001991,POINT(-3.727989 40.383669)
http://www.wikidata.org/entity/Q1002124,POINT(-3.777020 55.674900)
http://www.wikidata.org/entity/Q1003456,POINT(-44.959720 -23.074440)
http://www.wikidata.org/entity/Q1003636,POINT(-97.347500 38.044200)
http://www.wikidata.org/entity/Q10040,POINT(5.568900 51.959700)
http://www.wikidata.org/entity/Q1005049,POINT(23.759722 60.808333)
http://www.wikidata.org/entity/Q1005403,POINT(16.001945 50.703333)
http://www.wikidata.org/entity/Q1006338,POINT(88.500000 23.400000)
