person_uri,education_uri,education_label
http://www.wikidata.org/entity/Q824395,http://www.wikidata.org/entity/Q1007545,Galatasaray High School
http://www.wikidata.org/entity/Q136488782,http://www.wikidata.org/entity/Q101012294,Department of History and Archaeology of the NKUA
http://www.wikidata.org/entity/Q60296696,http://www.wikidata.org/entity/Q101256528,Institut für Ur- und Frühgeschichte
http://www.wikidata.org/entity/Q1903331,http://www.wikidata.org/entity/Q101267576,Julius-Maximilians-Universität Würzburg Institut für Altertumswissenschaften
http://www.wikidata.org/entity/Q3566119,http://www.wikidata.org/entity/Q10132577,Ningbo High School
http://www.wikidata.org/entity/Q1898981,http://www.wikidata.org/entity/Q101392860,Westfälische Wilhelms Universität Münster Fachbereich 10 Mathematik und Informatik
http://www.wikidata.org/entity/Q64445,http://www.wikidata.org/entity/Q1014978,Burggymnasium Essen
http://www.wikidata.org/entity/Q4013083,http://www.wikidata.org/entity/Q1015351,Roman Catholic Archdiocese of Brindisi-Ostuni
http://www.wikidata.org/entity/Q810064,http://www.wikidata.org/entity/Q10176,University of Lyon
http://www.wikidata.org/entity/Q15990460,http://www.wikidata.org/entity/Q1017974,Butler University
http://www.wikidata.org/entity/Q1379148,http://www.wikidata.org/entity/Q101838586,Universität Trier Fach Psychologie
http://www.wikidata.org/entity/Q130223146,http://www.wikidata.org/entity/Q102398072,philosophy faculty of the German university of Prague
http://www.wikidata.org/entity/Q1439770,http://www.wikidata.org/entity/Q102398072,philosophy faculty of the German university of Prague
http://www.wikidata.org/entity/Q18539733,http://www.wikidata.org/entity/Q102398072,philosophy faculty of the German university of Prague
http://www.wikidata.org/entity/Q28737702,http://www.wikidata.org/entity/Q102398072,philosophy faculty of the German university of Prague
http://www.wikidata.org/entity/Q94897224,http://www.wikidata.org/entity/Q102398072,philosophy faculty of the German university of Prague
http://www.wikidata.org/entity/Q87985,http://www.wikidata.org/entity/Q102398072,philosophy faculty of the German university of Prague
http://www.wikidata.org/entity/Q86225,http://www.wikidata.org/entity/Q102398072,philosophy faculty of the German university of Prague
http://www.wikidata.org/entity/Q94743722,http://www.wikidata.org/entity/Q102398072,philosophy faculty of the German university of Prague
