,gender,country,occup_m,occup_s,edpl,number_in_cl,number_centroid,prop_centr,countries_list,occ_list,edpl_list,run
0,male,France,archaeologist,historian,other_uni,54,46,0.85,France: 54,"historian: 46, writer: 5, politician: 3",other_uni: 54,cen54
1,male,Central Europe,archaeologist,other,Eötvös Loránd University,14,6,0.43,"Central Europe: 12, Austria Hungary: 2","other: 6, historian: 2, museologist: 2, university-teacher: 2, art-historian: 1","Eötvös Loránd University: 12, other_uni: 2",cen54
2,male,France,archaeologist,university-teacher,other_uni,60,36,0.6,France: 60,"university-teacher: 36, anthropologist: 24",other_uni: 60,cen54
3,male,Scandinavia,archaeologist,university-teacher,Uppsala University,19,7,0.37,Scandinavia: 19,"university-teacher: 7, anthropologist: 4, historian: 3, other: 3, prehistorian: 1",Uppsala University: 19,cen54
4,male,Italy,archaeologist,university-teacher,Italian School of Archaeology at Athens,20,8,0.4,Italy: 20,"university-teacher: 11, other: 5, art-historian: 2, anthropologist: 1, politician: 1",Italian School of Archaeology at Athens: 20,cen54
5,male,United States Can.,archaeologist,university-teacher,other_uni,65,27,0.42,"United States Can.: 59, Ukraine: 6","university-teacher: 27, historian: 13, other: 13, anthropologist: 7, art-historian: 3","other_uni: 64, Humboldt-Universität zu Berlin: 1",cen54
6,male,Germany,archaeologist,university-teacher,Humboldt-Universität zu Berlin,56,26,0.46,"Germany: 50, Czechia: 2, Ukraine: 2, Russian Federation: 1, United States Can.: 1","university-teacher: 47, other: 4, art-historian: 3, anthropologist: 2","Humboldt-Universität zu Berlin: 38, Leipzig University: 18",cen54
7,male,United Kingdom,archaeologist,anthropologist,other_uni,67,67,1.0,United Kingdom: 67,anthropologist: 67,other_uni: 67,cen54
8,male,Russian Federation,archaeologist,historian,other_uni,122,40,0.33,"Russian Federation: 121, Baltic States Fin. Belar.: 1","historian: 45, university-teacher: 34, other: 19, anthropologist: 12, art-historian: 8","other_uni: 121, Saint Petersburg State University: 1",cen54
9,male,Spain Port.,archaeologist,historian,other_uni,63,25,0.4,"Spain Port.: 54, Baltic States Fin. Belar.: 5, Ukraine: 2, Czechia: 1, Poland: 1","historian: 25, university-teacher: 15, writer: 14, politician: 6, anthropologist: 3","other_uni: 62, University of Vienna: 1",cen54
10,male,Austria Hungary,archaeologist,university-teacher,University of Vienna,25,17,0.68,Austria Hungary: 25,"university-teacher: 17, anthropologist: 2, historian: 2, art-historian: 1, other: 1",University of Vienna: 25,cen54
11,male,Germany,archaeologist,university-teacher,other_uni,93,57,0.61,"Germany: 86, Poland: 2, Belgium Netherl.: 1, Central Europe: 1, Czechia: 1","university-teacher: 62, anthropologist: 13, art-historian: 9, historian: 5, other: 4","other_uni: 86, University of Bonn: 4, Humboldt-Universität zu Berlin: 1, Leipzig University: 1, University of Göttingen: 1",cen54
12,male,Italy,archaeologist,university-teacher,other_uni,64,23,0.36,Italy: 64,"university-teacher: 25, other: 16, anthropologist: 10, historian: 9, politician: 3","other_uni: 62, University of Vienna: 2",cen54
13,male,Czechia,archaeologist,other,other_uni,78,14,0.18,"Czechia: 22, Ukraine: 18, Central Europe: 16, Baltic States Fin. Belar.: 15, Belgium Netherl.: 6","other: 63, historian: 6, art-historian: 5, anthropologist: 3, university-teacher: 1",other_uni: 78,cen54
14,male,United States Can.,archaeologist,anthropologist,Harvard University,40,18,0.45,"United States Can.: 39, Scandinavia: 1","anthropologist: 21, university-teacher: 13, historian: 3, other: 2, politician: 1",Harvard University: 40,cen54
15,male,France,archaeologist,historian,École des chartes,28,12,0.43,France: 28,"historian: 12, other: 11, art-historian: 4, anthropologist: 1",École des chartes: 28,cen54
