,person_uri,per_activ,gender,country,occup_s,edpl
0,http://www.wikidata.org/entity/Q204508,1826-1850,male,Central Europe,other,University of Göttingen
1,http://www.wikidata.org/entity/Q529604,1826-1850,male,United States Can.,historian,other_uni
2,http://www.wikidata.org/entity/Q567735,1826-1850,male,United Kingdom,anthropologist,other_uni
3,http://www.wikidata.org/entity/Q6166535,1826-1850,male,Scandinavia,writer,Uppsala University
4,http://www.wikidata.org/entity/Q3164481,1826-1850,male,France,anthropologist,other_uni
5,http://www.wikidata.org/entity/Q1356957,1826-1850,male,United Kingdom,anthropologist,other_uni
6,http://www.wikidata.org/entity/Q562042,1826-1850,male,Baltic States Fin. Belar.,anthropologist,University of Göttingen
7,http://www.wikidata.org/entity/Q15970853,1826-1850,male,Baltic States Fin. Belar.,other,other_uni
8,http://www.wikidata.org/entity/Q768369,1826-1850,male,Baltic States Fin. Belar.,historian,other_uni
9,http://www.wikidata.org/entity/Q4013083,1826-1850,male,Italy,other,other_uni
10,http://www.wikidata.org/entity/Q6044650,1826-1850,male,Scandinavia,writer,other_uni
11,http://www.wikidata.org/entity/Q50326718,1826-1850,male,France,other,other_uni
12,http://www.wikidata.org/entity/Q225850,1826-1850,male,Scandinavia,university-teacher,other_uni
13,http://www.wikidata.org/entity/Q86810959,1826-1850,male,Baltic States Fin. Belar.,other,other_uni
14,http://www.wikidata.org/entity/Q72289,1826-1850,male,Germany,university-teacher,other_uni
15,http://www.wikidata.org/entity/Q581258,1826-1850,male,Italy,historian,other_uni
16,http://www.wikidata.org/entity/Q2622193,1826-1850,male,Baltic States Fin. Belar.,historian,other_uni
17,http://www.wikidata.org/entity/Q1896485,1826-1850,male,Belgium Netherl.,historian,other_uni
18,http://www.wikidata.org/entity/Q76247,1826-1850,male,Germany,other,Beaux-Arts de Paris
19,http://www.wikidata.org/entity/Q984014,1826-1850,male,United Kingdom,other,other_uni
20,http://www.wikidata.org/entity/Q1528412,1826-1850,male,Italy,anthropologist,other_uni
21,http://www.wikidata.org/entity/Q633159,1826-1850,male,United Kingdom,writer,other_uni
22,http://www.wikidata.org/entity/Q64154,1826-1850,male,Germany,university-teacher,other_uni
23,http://www.wikidata.org/entity/Q643621,1826-1850,male,Germany,art-historian,Beaux-Arts de Paris
24,http://www.wikidata.org/entity/Q55134234,1826-1850,male,Austria Hungary,writer,University of Vienna
25,http://www.wikidata.org/entity/Q809498,1826-1850,male,Italy,historian,other_uni
26,http://www.wikidata.org/entity/Q220550,1826-1850,male,Central Europe,university-teacher,other_uni
27,http://www.wikidata.org/entity/Q90664,1826-1850,male,Germany,university-teacher,other_uni
28,http://www.wikidata.org/entity/Q9363639,1826-1850,male,Baltic States Fin. Belar.,historian,other_uni
29,http://www.wikidata.org/entity/Q923032,1826-1850,male,United Kingdom,writer,other_uni
30,http://www.wikidata.org/entity/Q62095,1826-1850,male,Germany,university-teacher,other_uni
31,http://www.wikidata.org/entity/Q299565,1826-1850,male,United Kingdom,anthropologist,other_uni
32,http://www.wikidata.org/entity/Q90840,1826-1850,male,Germany,university-teacher,other_uni
33,http://www.wikidata.org/entity/Q66921,1826-1850,male,Poland,university-teacher,Humboldt-Universität zu Berlin
34,http://www.wikidata.org/entity/Q327363,1826-1850,male,France,historian,other_uni
35,http://www.wikidata.org/entity/Q373633,1826-1850,male,France,other,other_uni
36,http://www.wikidata.org/entity/Q3262073,1826-1850,male,France,other,other_uni
37,http://www.wikidata.org/entity/Q373930,1826-1850,male,Scandinavia,university-teacher,other_uni
38,http://www.wikidata.org/entity/Q47500605,1826-1850,male,France,other,other_uni
39,http://www.wikidata.org/entity/Q3918984,1826-1850,male,Baltic States Fin. Belar.,historian,other_uni
40,http://www.wikidata.org/entity/Q70348,1826-1850,male,Germany,university-teacher,Leipzig University
41,http://www.wikidata.org/entity/Q97068222,1826-1850,male,France,other,other_uni
42,http://www.wikidata.org/entity/Q440380,1826-1850,male,Italy,anthropologist,other_uni
