archaeologist,field_uri,field_label
http://www.wikidata.org/entity/Q1000405,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q1000405,http://www.wikidata.org/entity/Q43455,ethnology
http://www.wikidata.org/entity/Q1000405,http://www.wikidata.org/entity/Q6497044,history of literature
http://www.wikidata.org/entity/Q100152299,http://www.wikidata.org/entity/Q11761,Bronze Age
http://www.wikidata.org/entity/Q100152299,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q100152299,http://www.wikidata.org/entity/Q36422,Neolithic
http://www.wikidata.org/entity/Q100256344,http://www.wikidata.org/entity/Q1994273,Flemish Baroque painting
http://www.wikidata.org/entity/Q100256344,http://www.wikidata.org/entity/Q36649,visual arts
http://www.wikidata.org/entity/Q100256344,http://www.wikidata.org/entity/Q443153,Early Netherlandish painting
http://www.wikidata.org/entity/Q100328,http://www.wikidata.org/entity/Q1669589,classical archaeology
http://www.wikidata.org/entity/Q100328,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q100328,http://www.wikidata.org/entity/Q50637,art history
http://www.wikidata.org/entity/Q100346138,http://www.wikidata.org/entity/Q11756,prehistory
http://www.wikidata.org/entity/Q100346138,http://www.wikidata.org/entity/Q1671076,medieval archaeology
http://www.wikidata.org/entity/Q100346138,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q100346138,http://www.wikidata.org/entity/Q309,history
http://www.wikidata.org/entity/Q100411,http://www.wikidata.org/entity/Q192694,paleobotany
http://www.wikidata.org/entity/Q100411,http://www.wikidata.org/entity/Q441,botany
http://www.wikidata.org/entity/Q1004178,http://www.wikidata.org/entity/Q1081988,pastoral care
http://www.wikidata.org/entity/Q1004178,http://www.wikidata.org/entity/Q199655,library science
http://www.wikidata.org/entity/Q1004178,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q100487,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q100487,http://www.wikidata.org/entity/Q50637,art history
http://www.wikidata.org/entity/Q100590806,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q100590831,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q100590833,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q100600840,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q100600840,http://www.wikidata.org/entity/Q50637,art history
http://www.wikidata.org/entity/Q100605033,http://www.wikidata.org/entity/Q23404,anthropology
http://www.wikidata.org/entity/Q100605033,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q100605448,http://www.wikidata.org/entity/Q23404,anthropology
http://www.wikidata.org/entity/Q100605448,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q100901065,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q100901065,http://www.wikidata.org/entity/Q309,history
http://www.wikidata.org/entity/Q100901065,http://www.wikidata.org/entity/Q631286,numismatics
http://www.wikidata.org/entity/Q100943039,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q100945689,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q1009506,http://www.wikidata.org/entity/Q156859,Assyriology
http://www.wikidata.org/entity/Q1009506,http://www.wikidata.org/entity/Q466340,Assyrian mythology
http://www.wikidata.org/entity/Q1009506,http://www.wikidata.org/entity/Q66018222,cuneiform clay tablet
http://www.wikidata.org/entity/Q101002568,http://www.wikidata.org/entity/Q115154787,church‘s ministry
http://www.wikidata.org/entity/Q101002568,http://www.wikidata.org/entity/Q2415966,prehistoric archaeology
http://www.wikidata.org/entity/Q101002568,http://www.wikidata.org/entity/Q309,history
http://www.wikidata.org/entity/Q1010297,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q1010297,http://www.wikidata.org/entity/Q476294,oriental studies
http://www.wikidata.org/entity/Q101120562,http://www.wikidata.org/entity/Q1069,geology
http://www.wikidata.org/entity/Q101120562,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q101120562,http://www.wikidata.org/entity/Q52139,climatology
http://www.wikidata.org/entity/Q101163496,http://www.wikidata.org/entity/Q12211529,Middle Eastern studies
http://www.wikidata.org/entity/Q101163496,http://www.wikidata.org/entity/Q1510761,social change
http://www.wikidata.org/entity/Q101163496,http://www.wikidata.org/entity/Q177626,human migration
http://www.wikidata.org/entity/Q101163496,http://www.wikidata.org/entity/Q193748,ancient Israel and Judah
http://www.wikidata.org/entity/Q101163496,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q101218689,http://www.wikidata.org/entity/Q2277510,ancient art
http://www.wikidata.org/entity/Q101218689,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q101218689,http://www.wikidata.org/entity/Q486761,classical antiquity
http://www.wikidata.org/entity/Q101218689,http://www.wikidata.org/entity/Q637254,archaeometallurgy
http://www.wikidata.org/entity/Q101218689,http://www.wikidata.org/entity/Q637284,archaeological science
http://www.wikidata.org/entity/Q101223294,http://www.wikidata.org/entity/Q1669589,classical archaeology
http://www.wikidata.org/entity/Q101248889,http://www.wikidata.org/entity/Q1671076,medieval archaeology
http://www.wikidata.org/entity/Q101248889,http://www.wikidata.org/entity/Q2415966,prehistoric archaeology
http://www.wikidata.org/entity/Q101248889,http://www.wikidata.org/entity/Q959782,archaeological excavation
http://www.wikidata.org/entity/Q101552364,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q101678,http://www.wikidata.org/entity/Q145903,Egyptology
http://www.wikidata.org/entity/Q101910,http://www.wikidata.org/entity/Q1367940,Catholic theology
http://www.wikidata.org/entity/Q101910,http://www.wikidata.org/entity/Q1760972,Christian archaeology
http://www.wikidata.org/entity/Q101910,http://www.wikidata.org/entity/Q189380,patristics
http://www.wikidata.org/entity/Q101910,http://www.wikidata.org/entity/Q235329,history of Christianity
http://www.wikidata.org/entity/Q101910,http://www.wikidata.org/entity/Q5870968,history of theology
http://www.wikidata.org/entity/Q101915,http://www.wikidata.org/entity/Q199655,library science
http://www.wikidata.org/entity/Q101915,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q101915,http://www.wikidata.org/entity/Q309,history
http://www.wikidata.org/entity/Q101915,http://www.wikidata.org/entity/Q380313,archival science
http://www.wikidata.org/entity/Q101915,http://www.wikidata.org/entity/Q40634,philology
http://www.wikidata.org/entity/Q101927223,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q101927223,http://www.wikidata.org/entity/Q45621,ceramic
http://www.wikidata.org/entity/Q102078101,http://www.wikidata.org/entity/Q1669589,classical archaeology
http://www.wikidata.org/entity/Q102078101,http://www.wikidata.org/entity/Q181260,epigraphy
http://www.wikidata.org/entity/Q102078101,http://www.wikidata.org/entity/Q63386008,curating
http://www.wikidata.org/entity/Q102078101,http://www.wikidata.org/entity/Q7328910,art collection
http://www.wikidata.org/entity/Q102078101,http://www.wikidata.org/entity/Q757248,papyrology
http://www.wikidata.org/entity/Q102078229,http://www.wikidata.org/entity/Q23498,archaeology
http://www.wikidata.org/entity/Q102078229,http://www.wikidata.org/entity/Q309,history
