person_uri,person_label
http://www.wikidata.org/entity/Q100038758,Louis d'Eichthal
http://www.wikidata.org/entity/Q1000405,Miguel de Ferdinandy
http://www.wikidata.org/entity/Q1000525,Géza Ferenczi
http://www.wikidata.org/entity/Q1001016,Nándor Fettich
http://www.wikidata.org/entity/Q100139704,Andrée Piboule
http://www.wikidata.org/entity/Q100139889,Jean-Laurent Monnier
http://www.wikidata.org/entity/Q100145330,Sue Anderson
http://www.wikidata.org/entity/Q100151780,Franz Cupik
http://www.wikidata.org/entity/Q100152299,Martin Furholt
http://www.wikidata.org/entity/Q1001774,Jenő Fitz
http://www.wikidata.org/entity/Q100213,Otto Friedrich August Meinardus
http://www.wikidata.org/entity/Q100256344,Paul Huvenne
http://www.wikidata.org/entity/Q100279,Johannes Boehlau
http://www.wikidata.org/entity/Q100328,Volker Michael Strocka
http://www.wikidata.org/entity/Q100346138,Tobias Gärtner
http://www.wikidata.org/entity/Q100406563,Francis McManamon
http://www.wikidata.org/entity/Q100406918,Nanouschka Myrberg
http://www.wikidata.org/entity/Q100411,Ulrich Willerding
http://www.wikidata.org/entity/Q100417359,William Wavre
http://www.wikidata.org/entity/Q1004178,Róbert Fröhlich
http://www.wikidata.org/entity/Q100464173,Micah Salt
http://www.wikidata.org/entity/Q100487,Theodor Schreiber
http://www.wikidata.org/entity/Q100531,Habbo Gerhard Lolling
http://www.wikidata.org/entity/Q100533,Hans Schrader
http://www.wikidata.org/entity/Q100538,Julius Schubring
http://www.wikidata.org/entity/Q100547,Wilhelm Spiegelberg
http://www.wikidata.org/entity/Q100587867,Wacław Fedorowicz
http://www.wikidata.org/entity/Q100590806,Rafał Koliński
http://www.wikidata.org/entity/Q100590831,Iwona Sobkowiak-Tabaka
http://www.wikidata.org/entity/Q100590833,Marzena Szmyt
http://www.wikidata.org/entity/Q100592204,Lucyna Szafran-Szadkowska
http://www.wikidata.org/entity/Q100598257,Robert Will
http://www.wikidata.org/entity/Q100600726,Mads Kähler Holst
http://www.wikidata.org/entity/Q100600840,Nikos Zias
http://www.wikidata.org/entity/Q100605033,Brad Loewen
http://www.wikidata.org/entity/Q100605448,Christian Gates St-Pierre
http://www.wikidata.org/entity/Q100609,Björn-Uwe Abels
http://www.wikidata.org/entity/Q1006387,Ferenc Fülep
http://www.wikidata.org/entity/Q100742126,Gergely Buzás
http://www.wikidata.org/entity/Q100753593,Diego Jiménez de Cisneros
http://www.wikidata.org/entity/Q100754214,Henri Siret
http://www.wikidata.org/entity/Q100787936,Sigmund Oehrl
http://www.wikidata.org/entity/Q100898528,Robert Clephan
